origin_group,year,from,to,count,stock,prob
Hindu,2014,D,H_D,1,8,0.13043478260869565
Hindu,2014,H_A,H_A,1,1,0.3333333333333333
Hindu,2014,H_D,H_D,13,13,0.8181818181818182
Hindu,2014,P_D,P_D,3,3,0.5384615384615384
Hindu,2015,D,D,7,7,0.7142857142857143
Hindu,2015,H_A,P_A,1,1,0.3333333333333333
Hindu,2015,H_D,H_D,14,14,0.8285714285714286
Hindu,2015,P_D,P_D,3,3,0.5384615384615384
Hindu,2016,D,D,8,8,0.7391304347826086
Hindu,2016,H_D,H_D,13,14,0.7714285714285715
Hindu,2016,H_D,P_D,1,14,0.08571428571428572
Hindu,2016,P_A,P_A,1,1,0.3333333333333333
Hindu,2016,P_D,P_D,3,3,0.5384615384615384
Hindu,2017,D,A,1,8,0.13043478260869565
Hindu,2017,D,D,6,8,0.5652173913043478
Hindu,2017,D,H_D,1,8,0.13043478260869565
Hindu,2017,H_D,H_D,13,13,0.8181818181818182
Hindu,2017,P_A,P_A,1,1,0.3333333333333333
Hindu,2017,P_D,P_D,4,4,0.6
Hindu,2018,A,P_A,1,1,0.3333333333333333
Hindu,2018,D,D,6,6,0.6842105263157895
Hindu,2018,H_D,H_D,14,14,0.8285714285714286
Hindu,2018,P_A,P_A,1,1,0.3333333333333333
Hindu,2018,P_D,P_D,4,4,0.6
Hindu,2019,D,D,6,6,0.6842105263157895
Hindu,2019,H_D,H_D,14,14,0.8285714285714286
Hindu,2019,P_A,P_A,2,2,0.45454545454545453
Hindu,2019,P_D,P_D,4,4,0.6
Hindu,2020,D,D,5,6,0.5789473684210527
Hindu,2020,D,H_D,1,6,0.15789473684210525
Hindu,2020,H_D,H_D,12,14,0.7142857142857143
Hindu,2020,H_D,P_D,2,14,0.14285714285714285
Hindu,2020,P_A,P_A,2,2,0.45454545454545453
Hindu,2020,P_D,P_D,4,4,0.6
Hindu,2021,D,D,5,5,0.6470588235294118
Hindu,2021,H_D,H_D,12,13,0.7575757575757576
Hindu,2021,H_D,P_D,1,13,0.09090909090909091
Hindu,2021,P_A,P_A,2,2,0.45454545454545453
Hindu,2021,P_D,P_D,6,6,0.6842105263157895
Hindu,2022,D,D,4,5,0.5294117647058824
Hindu,2022,D,H_D,1,5,0.17647058823529413
Hindu,2022,H_D,H_D,12,12,0.8064516129032258
Hindu,2022,P_A,P_A,2,2,0.45454545454545453
Hindu,2022,P_D,P_D,7,7,0.7142857142857143
Islamic,2001,D,D,1,1,0.3333333333333333
Islamic,2002,D,D,1,1,0.3333333333333333
Islamic,2003,D,H_D,1,1,0.3333333333333333
